                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3116,                  2.984,                 1.7203,                0.44144,                0.35431,                0.40293,                0.25726,                 1.5178,                 2.5614,                 1.9126,              0.0096832,              0.0096832,              0.0096832
                     35,                 1.3035,                 2.9685,                  1.709,                0.50146,                0.37452,                0.41063,                0.25661,                 1.5338,                  2.505,                 1.9291,              0.0096733,              0.0096733,              0.0096733
                     36,                  1.294,                 2.9663,                 1.7072,                0.40933,                0.36847,                0.40326,                0.26784,                 1.5141,                 2.5313,                 1.9248,              0.0096634,              0.0096634,              0.0096634
                     37,                 1.3023,                 2.9353,                 1.7099,                0.45933,                0.38839,                0.41148,                0.26553,                 1.4939,                 2.4632,                 1.8871,              0.0096535,              0.0096535,              0.0096535
                     38,                 1.2933,                 2.9095,                 1.6987,                 0.4495,                0.42295,                0.42032,                0.26673,                 1.5213,                 2.5133,                 1.9057,              0.0096436,              0.0096436,              0.0096436
                     39,                 1.2852,                 2.9106,                 1.6936,                 0.5255,                0.36724,                 0.4237,                0.28272,                 1.5064,                 2.4692,                 1.8884,              0.0096337,              0.0096337,              0.0096337
                     40,                 1.2867,                 2.8899,                 1.6895,                0.37885,                0.45304,                0.44526,                0.26819,                 1.4987,                 2.4368,                 1.8849,              0.0096238,              0.0096238,              0.0096238
                     41,                 1.2922,                 2.8938,                 1.6958,                0.40817,                0.39531,                 0.4364,                0.27663,                 1.4993,                 2.4119,                 1.8616,              0.0096139,              0.0096139,              0.0096139
                     42,                 1.2666,                 2.8643,                 1.6805,                0.42768,                0.42251,                0.43909,                0.28068,                 1.4462,                  2.398,                 1.8419,               0.009604,               0.009604,               0.009604
                     43,                 1.2771,                 2.8657,                 1.6827,                0.46112,                0.42797,                0.45794,                0.29965,                  1.464,                 2.3887,                 1.8627,              0.0095941,              0.0095941,              0.0095941
                     44,                 1.2721,                 2.8216,                 1.6726,                0.42907,                0.45577,                0.44042,                0.28655,                 1.4516,                 2.3316,                 1.8384,              0.0095842,              0.0095842,              0.0095842
                     45,                 1.2686,                 2.8095,                 1.6715,                0.45376,                0.46028,                0.43545,                0.28712,                 1.4364,                 2.3111,                 1.8233,              0.0095743,              0.0095743,              0.0095743
                     46,                 1.2611,                 2.8203,                 1.6692,                 0.4098,                0.43822,                0.42881,                0.27536,                 1.4186,                 2.3532,                 1.8312,              0.0095644,              0.0095644,              0.0095644
                     47,                 1.2683,                 2.7824,                 1.6671,                 0.4112,                0.43213,                0.43298,                0.27821,                 1.4645,                 2.3695,                 1.8591,              0.0095545,              0.0095545,              0.0095545
                     48,                 1.2511,                  2.791,                 1.6656,                0.48186,                 0.3938,                0.43119,                0.28438,                 1.4611,                 2.3823,                  1.851,              0.0095446,              0.0095446,              0.0095446
                     49,                 1.2616,                  2.787,                  1.672,                0.38789,                0.44588,                0.43723,                0.28747,                  1.449,                 2.3456,                 1.8423,              0.0095347,              0.0095347,              0.0095347
                     50,                 1.2529,                 2.7591,                 1.6589,                0.47595,                0.41507,                0.42738,                0.26693,                 1.4452,                  2.339,                 1.8313,              0.0095248,              0.0095248,              0.0095248
                     51,                 1.2554,                 2.7505,                 1.6534,                0.41559,                0.43008,                0.43923,                0.29448,                 1.4251,                 2.3001,                 1.7998,              0.0095149,              0.0095149,              0.0095149
                     52,                 1.2531,                 2.7315,                 1.6547,                0.51951,                0.42382,                0.47538,                0.30806,                 1.4137,                 2.2672,                 1.8121,               0.009505,               0.009505,               0.009505
                     53,                 1.2516,                 2.7376,                 1.6528,                 0.4673,                0.43644,                0.45905,                0.29884,                 1.4118,                 2.2459,                 1.8008,              0.0094951,              0.0094951,              0.0094951
                     54,                  1.249,                 2.7124,                  1.656,                0.46954,                0.47239,                0.49248,                0.30566,                 1.4222,                 2.2091,                 1.8343,              0.0094852,              0.0094852,              0.0094852
                     55,                 1.2419,                 2.6988,                 1.6471,                0.46764,                 0.4846,                0.49288,                0.32456,                 1.4161,                 2.2112,                 1.8086,              0.0094753,              0.0094753,              0.0094753
                     56,                 1.2371,                  2.696,                 1.6387,                0.45018,                0.46094,                0.51108,                0.33287,                 1.3873,                 2.2282,                 1.7718,              0.0094654,              0.0094654,              0.0094654
                     57,                 1.2366,                 2.6702,                 1.6378,                0.51977,                0.42508,                 0.4881,                0.31351,                 1.4195,                 2.2614,                 1.7958,              0.0094555,              0.0094555,              0.0094555
                     58,                 1.2336,                 2.6536,                 1.6387,                0.47167,                0.45509,                0.49001,                 0.3248,                 1.3924,                 2.2093,                 1.7883,              0.0094456,              0.0094456,              0.0094456
                     59,                 1.2399,                 2.6683,                 1.6401,                0.48641,                0.41528,                0.46101,                0.30718,                 1.3889,                 2.2324,                 1.7705,              0.0094357,              0.0094357,              0.0094357
                     60,                 1.2337,                 2.6537,                 1.6375,                0.47177,                0.45877,                0.46819,                0.31769,                 1.3811,                 2.2459,                 1.7633,              0.0094258,              0.0094258,              0.0094258
                     61,                 1.2367,                 2.6309,                 1.6291,                0.45445,                0.45373,                0.46228,                0.31149,                 1.3929,                 2.2161,                 1.7793,              0.0094159,              0.0094159,              0.0094159
                     62,                 1.2376,                 2.6418,                 1.6334,                0.57955,                0.41462,                0.47861,                0.31951,                 1.3775,                 2.1636,                 1.7743,               0.009406,               0.009406,               0.009406
                     63,                 1.2241,                 2.6041,                 1.6231,                0.49262,                0.42881,                0.47118,                0.31465,                 1.4186,                 2.1671,                 1.8029,              0.0093961,              0.0093961,              0.0093961
                     64,                 1.2227,                 2.6108,                 1.6236,                0.41337,                0.45944,                 0.4657,                0.30595,                 1.4121,                 2.1762,                 1.7982,              0.0093862,              0.0093862,              0.0093862
                     65,                 1.2251,                 2.5926,                 1.6241,                 0.5241,                0.47192,                0.47744,                0.31109,                 1.3933,                 2.1745,                 1.7817,              0.0093763,              0.0093763,              0.0093763
                     66,                 1.2279,                 2.6046,                 1.6271,                0.48096,                0.48026,                0.48021,                0.30857,                 1.3988,                 2.1466,                 1.7712,              0.0093664,              0.0093664,              0.0093664
                     67,                 1.2234,                 2.5866,                 1.6234,                0.45857,                0.51795,                 0.4889,                 0.3206,                 1.4013,                 2.1408,                 1.7771,              0.0093565,              0.0093565,              0.0093565
