                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1552,                 2.6706,                 1.5876,                0.49233,                0.43848,                0.47938,                0.33227,                 1.3071,                 2.2913,                 1.7159,              0.0096832,              0.0096832,              0.0096832
                     35,                 1.1476,                 2.6396,                  1.582,                0.43306,                0.42493,                0.47368,                0.33283,                 1.3186,                 2.2106,                 1.7123,              0.0096733,              0.0096733,              0.0096733
                     36,                  1.138,                 2.6438,                 1.5804,                0.49191,                0.47392,                0.49039,                0.34502,                 1.2618,                 2.2495,                 1.6741,              0.0096634,              0.0096634,              0.0096634
                     37,                 1.1492,                 2.6094,                  1.582,                0.46441,                0.50077,                0.52481,                0.35295,                 1.2624,                 2.1766,                 1.6387,              0.0096535,              0.0096535,              0.0096535
                     38,                 1.1344,                 2.5783,                 1.5697,                0.40841,                0.53288,                0.50381,                0.34249,                 1.2261,                 2.2324,                 1.5896,              0.0096436,              0.0096436,              0.0096436
                     39,                 1.1286,                 2.5811,                 1.5668,                0.51523,                0.48075,                0.52498,                0.37238,                 1.2088,                 2.1969,                  1.602,              0.0096337,              0.0096337,              0.0096337
                     40,                   1.13,                 2.5609,                  1.565,                0.54859,                0.49356,                0.53046,                  0.376,                 1.2436,                 2.1674,                 1.6481,              0.0096238,              0.0096238,              0.0096238
                     41,                 1.1329,                 2.5572,                 1.5665,                0.72012,                0.40953,                0.53564,                0.36606,                 1.2154,                 2.1553,                 1.6188,              0.0096139,              0.0096139,              0.0096139
                     42,                 1.1101,                 2.5212,                 1.5479,                0.52588,                0.49539,                0.53358,                0.37856,                 1.2155,                 2.1128,                 1.6208,               0.009604,               0.009604,               0.009604
                     43,                 1.1188,                 2.5312,                 1.5569,                0.53345,                0.50986,                0.54197,                0.36504,                 1.2228,                 2.1573,                 1.6318,              0.0095941,              0.0095941,              0.0095941
